"source_label","destination_label","source_path","destination_file","object_type","mapping_status","notes"
"sec:introduction","sec:introduction","manuscript/sections/01_introduction.tex","01_introduction.tex","section","PRESERVE_EXACT","Instantiated once in scaffold"
"sec:literature-boundary","sec:literature-boundary","manuscript/sections/02_literature_boundary.tex","02_literature.tex","section alias","PRESERVE_EXACT","New alias sec:literature shares same section"
"sec:model","sec:model","manuscript/sections/03_model.tex","03_model_projection.tex","section","PRESERVE_EXACT","New alias sec:model-projection shares same section"
"sec:compression","sec:compression","manuscript/sections/04_dynamic_innovation_equivalence.tex","04_cover_complexity.tex","section","PRESERVE_EXACT","New alias sec:cover-complexity shares same section"
"sec:value","sec:value","manuscript/sections/06_operational_generative_value.tex","06_economic_implications.tex","section alias","PRESERVE_EXACT","Section scope narrowed by architecture lock"
"sec:experiments","sec:experiments","manuscript/sections/09_canonical_finite_model.tex","07_computational_study.tex","section alias","PRESERVE_EXACT","New alias sec:computational-study shares same section"
"sec:financial-compression-audit","sec:financial-compression-audit","manuscript/sections/10_financial_compression_audit.tex","08_financial_case_studies.tex","section alias","PRESERVE_EXACT","New alias sec:financial-case-studies shares same section"
"sec:conclusion","sec:conclusion","manuscript/sections/11_limitations_conclusion.tex","09_conclusion.tex","section","PRESERVE_EXACT","Instantiated once in scaffold"
"thm:raw-to-compressed-projection","thm:raw-to-compressed-projection","manuscript/sections/03_model.tex","03_model_projection.tex","theorem","INSTANTIATED","Main statement with proof detail assigned to Online Resource 1"
"thm:minimum-safe-compression","thm:minimum-safe-compression","manuscript/sections/04_dynamic_innovation_equivalence.tex","04_cover_complexity.tex","theorem","INSTANTIATED","Source-relative minimum and productive preservation"
"thm:raw-frontier-closure-characterization","thm:raw-frontier-closure-characterization","manuscript/sections/04_dynamic_innovation_equivalence.tex","04_cover_complexity.tex","theorem","INSTANTIATED","Primary label"
"thm:unified-safe-deletion","thm:unified-safe-deletion","manuscript/sections/04_dynamic_innovation_equivalence.tex","04_cover_complexity.tex","theorem alias","INSTANTIATED_ALIAS","Attached to thm:raw-frontier-closure-characterization"
"thm:aor-tagged-cover-equivalence","thm:aor-tagged-cover-equivalence","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","theorem","INSTANTIATED","Identity closure and source inclusion retained"
"thm:aor-safe-compression-complexity","thm:aor-safe-compression-complexity","journal/aor/manuscript/05_identity_closure_complexity.tex","04_cover_complexity.tex","theorem","INSTANTIATED","Human proof only"
"prop:aor-preprocessing-feasibility-core","prop:aor-preprocessing-feasibility-core","journal/aor/reports/PREPROCESSING_THEORY.md","04_cover_complexity.tex","proposition suite","INSTANTIATED","Full P1-P7 suite condensed; optimizer-identity boundary explicit"
"prop:aor-complete-enumeration","prop:aor-complete-enumeration","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex","05_algorithms.tex","proposition","INSTANTIATED","Exact finite oracle"
"thm:aor-requirement-mask-dp","thm:aor-requirement-mask-dp","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex","05_algorithms.tex","theorem","INSTANTIATED","Human proof only for recurrence and complexity"
"thm:aor-weighted-greedy","thm:aor-weighted-greedy","journal/aor/manuscript/08_weighted_greedy_construction.tex","05_algorithms.tex","theorem","INSTANTIATED","External approximation theorem not Lean formalized"
"prop:aor-certified-deletion-endpoint","prop:aor-certified-deletion-endpoint","journal/aor/manuscript/09_certified_deletion_suite.tex","05_algorithms.tex","proposition","INSTANTIATED","Feasibility and irreducibility, not approximation quality"
